imdb_id,movie_name,genre,cast
tt1934231,Delhi Belly,"Action, Comedy, Crime","Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury"
tt21262240,Mission Raniganj,"Biography, Drama, History","Akshay Kumar, Parineeti Chopra, Rajesh Sharma, Ravi Kishan"
tt0347473,Main Hoon Na,"Action, Comedy, Drama","Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan"
tt0284137,Gadar: Ek Prem Katha,"Action, Drama, Romance","Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey"
tt15360286,Bhagwan Bharose,"Comedy, Drama","Satendra Soni, Sparsh Suman, Vinay Pathak, Masumeh Makhija"
tt0488414,Omkara,"Action, Crime, Drama","Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma"
tt0871510,Chak De! India,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla"
tt0213890,Mohabbatein,"Drama, Musical, Romance","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj"
tt1029231,Krrish 3,"Action, Adventure, Sci-Fi","Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas, Kangana Ranaut"
tt8983202,Kabir Singh,"Action, Drama, Romance","Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar"
tt12567088,Raat Akeli Hai,"Crime, Drama, Mystery","Ashish Chhipa, Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav"
tt7721946,Housefull 4,"Action, Comedy, Drama","Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon"
tt2461132,Happy New Year,"Action, Comedy, Crime","Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Boman Irani"
tt6692354,Ittefaq,"Crime, Mystery, Thriller","Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna, Mandira Bedi"
tt4832640,Sultan,"Action, Drama, Romance","Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh"
tt4110568,Dil Dhadakne Do,"Comedy, Drama, Romance","Anil Kapoor, Shefali Shah, Priyanka Chopra Jonas, Ranveer Singh"
tt10644708,Dhokha: Round D Corner,"Crime, Drama, Thriller","Madhavan, Khushali Kumar, Aparshakti Khurana, Darshan Kumaar"
tt3702652,The Other Side of the Door,"Horror, Thriller","Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran"
tt6978268,Omerta,"Action, Biography, Crime","Rajkummar Rao, Rajesh Tailang, Satwant Kaur, Abhimanue Kamboj"
tt0379370,Maqbool,"Crime, Drama, Thriller","Irrfan Khan, Tabu, Pankaj Kapur, Naseeruddin Shah"
tt0195231,Satya,"Action, Crime, Drama","J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar, Paresh Rawal"
tt11112808,Cirkus,"Comedy, Drama","Ranveer Singh, Varun Sharma, Pooja Hegde, Jacqueline Fernandez"
tt15392282,Merry Christmas,"Drama, Thriller","Vijay Sethupathi, Katrina Kaif, Radhika Apte, Ashwini Kalsekar"
tt3678782,Badlapur,"Action, Crime, Drama","Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam, Huma Qureshi"
tt3477214,Kaun Kitney Paani Mein,"Comedy, Drama, Family","Kunal Kapoor, Radhika Apte, Saurabh Shukla, Gulshan Grover"
tt7919680,Karwaan,"Adventure, Comedy, Drama","Irrfan Khan, Dulquer Salmaan, Mithila Palkar, Amala Akkineni"
